epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,952.127,0.94244,1.4734,0.85237,1.09599,0.7572,0.72642,0.75584,0.54131,0.68488,0.61847,0.59163,0.19655,1.1125,1.18546,1.03036,1.1391,0.0014258,0.0014258,0.0014258
31,987.079,0.93828,1.45404,0.8476,1.09897,0.79575,0.68273,0.76229,0.5399,0.68258,0.61317,0.60734,0.2007,1.08449,1.1973,1.08522,1.1127,0.001406,0.001406,0.001406
32,1019.79,0.92599,1.44741,0.82877,1.08577,0.74173,0.73092,0.74636,0.50707,0.63358,0.63194,0.55706,0.19333,1.14859,1.18685,1.1402,1.10486,0.0013862,0.0013862,0.0013862
33,1051.56,0.9298,1.45723,0.83855,1.08876,0.76208,0.69463,0.74065,0.529,0.682,0.57028,0.5661,0.18766,1.09032,1.18706,1.07588,1.12556,0.0013664,0.0013664,0.0013664
34,1082.94,0.92539,1.45587,0.84437,1.09471,0.7825,0.74297,0.7456,0.54235,0.66734,0.63454,0.57228,0.17842,1.06264,1.19877,1.05401,1.11455,0.0013466,0.0013466,0.0013466
35,1114.88,0.90162,1.44824,0.81323,1.07642,0.78973,0.73911,0.77382,0.57737,0.69128,0.64749,0.61353,0.21084,1.0631,1.17075,1.01969,1.10813,0.0013268,0.0013268,0.0013268
36,1147.83,0.90583,1.44328,0.81829,1.07911,0.81691,0.73468,0.789,0.59076,0.68354,0.61044,0.58191,0.20872,1.01616,1.18864,0.98121,1.07448,0.001307,0.001307,0.001307
37,1179.41,0.89828,1.43749,0.8065,1.07426,0.78126,0.7172,0.76783,0.55663,0.65767,0.63855,0.61391,0.20781,1.06449,1.19443,1.02604,1.10277,0.0012872,0.0012872,0.0012872
38,1211.93,0.88627,1.45948,0.80486,1.06926,0.83031,0.67068,0.76671,0.55308,0.7259,0.58635,0.59972,0.20084,1.05853,1.22611,1.04589,1.13354,0.0012674,0.0012674,0.0012674
39,1243.53,0.89336,1.40187,0.79796,1.07809,0.77973,0.6988,0.73403,0.54203,0.69719,0.61847,0.58244,0.19278,1.03406,1.20436,1.071,1.06781,0.0012476,0.0012476,0.0012476
40,1274.66,0.89525,1.44987,0.8019,1.07308,0.8225,0.70281,0.76795,0.5645,0.73095,0.59438,0.60613,0.19828,1.00082,1.20535,1.02589,1.05516,0.0012278,0.0012278,0.0012278
41,1306.08,0.88185,1.41528,0.77362,1.06791,0.82122,0.72691,0.78996,0.56834,0.70944,0.63454,0.62111,0.19885,1.04567,1.18254,1.00454,1.10543,0.001208,0.001208,0.001208
42,1339.33,0.88909,1.42403,0.79326,1.06748,0.80666,0.754,0.76114,0.55014,0.71924,0.67871,0.63574,0.21523,1.05021,1.16513,1.03725,1.08853,0.0011882,0.0011882,0.0011882
43,1370.94,0.87321,1.42168,0.77566,1.06687,0.78741,0.72289,0.75636,0.54349,0.6711,0.61446,0.60213,0.20846,1.04961,1.15977,1.07118,1.11395,0.0011684,0.0011684,0.0011684
44,1402.8,0.88197,1.4466,0.78115,1.06603,0.77201,0.751,0.79245,0.59117,0.68731,0.66667,0.64108,0.2103,1.01646,1.18694,0.95941,1.09806,0.0011486,0.0011486,0.0011486
45,1433.91,0.87493,1.41583,0.78063,1.07486,0.79047,0.72723,0.76741,0.56282,0.70674,0.64846,0.62381,0.21746,1.03377,1.18311,0.98426,1.0802,0.0011288,0.0011288,0.0011288
